% fc fy E
6.11967 58.4363 32409.9
5.8772 57.5471 25977.3
5.80712 67.6644 33050.8
6.59703 60.7567 31882.5
7.6435 68.3313 28105.8
7.27958 58.0276 32933.7
5.43916 65.1254 27802.9
5.86099 66.7978 19772.5
6.00658 61.32 29180.4
6.77798 69.9513 33917
5.85828 60.6827 27252.2
5.61231 65.9476 26256.8
5.55967 57.0874 33675.9
6.16832 59.7452 23914.3
6.26047 66.1795 29540.9
5.65129 64.124 29798.6
5.28273 62.0214 30679.7
5.9448 64.4093 30100.8
6.35848 62.7616 24451.5
5.66454 64.2451 26876.3
5.68386 49.6719 24510.4
6.06087 56.9359 30768.9
5.90327 62.1299 29859.6
7.04027 58.2854 28346
5.99936 57.0213 30728.2
5.9895 54.4207 35150.8
6.56472 66.2015 31216.6
5.04255 67.5442 31967.8
6.22087 70.2505 28109.1
6.69212 54.6248 29611.5
6.72732 56.0775 36865.7
6.21574 54.9486 22835.9
5.94699 58.2652 26616.6
6.49118 55.7313 30131.3
5.58982 65.5151 30961.1
5.79463 56.7447 28196.4
5.57462 50.779 28906.2
6.53624 63.9737 32752.1
6.63856 60.3456 25459.2
6.61791 51.5603 30329.3
6.65356 59.3456 27504.5
5.71978 54.4583 30745.3
5.32568 58.1523 35797.8
6.09768 57.7528 30472.8
5.72711 59.781 29515.4
6.57928 57.2204 27972.3
5.96176 57.0076 25812.2
6.38501 67.8037 28252.2
6.43444 52.0562 28883.2
5.79253 59.3077 32104.3
5.09873 60.2616 32160.2
6.19001 60.7335 27861.9
4.78359 62.4536 27651.1
5.88526 61.2669 36413.2
6.31804 64.2201 35070.3
6.286 62.9047 30874.3
5.66435 54.1128 31366.6
6.11375 63.1926 33260.2
6.27534 59.7641 27224.9
5.72156 60.9842 28568.4
5.36747 58.1466 36559.8
6.13397 70.9689 26536.2
6.26348 61.3143 32644.7
5.33167 63.6905 29948.3
6.03467 56.3111 27418.4
6.1402 49.1735 37656.1
5.81612 52.3962 23755.5
6.31125 56.09 31105.2
3.99525 65.1369 30576.4
6.07873 63.2935 24348.4
6.4136 58.8548 30361.6
5.9697 60.4149 31618
6.17793 62.1788 31985.6
6.46901 65.0001 24236.4
5.50716 59.2988 28574.4
6.39638 74.1874 31239.1
6.33146 55.5298 29695.6
6.16684 62.801 29016.3
6.61568 60.6489 31583.2
4.40876 69.7689 32974.7
5.98654 61.1714 29320.7
5.47189 63.2266 35433.3
5.60522 53.0251 30370.9
6.02018 64.8748 23831
5.56636 52.6732 29601.1
5.64024 48.3638 29316.4
6.16472 54.8897 25435.4
6.08211 60.3294 28222.9
5.74108 52.8523 29425.6
5.31123 63.1324 30009.6
6.75451 61.8527 28811.8
7.47242 64.8461 33307.1
6.48883 64.9628 27081.5
5.53465 69.197 37366.2
6.47207 56.0649 29408.2
6.32036 56.4887 29157.6
6.3895 61.7116 26464
6.95587 61.5097 25065.9
5.39747 63.3721 28650.2
5.93808 63.1612 30267.7
6.74492 56.4508 29875.3
6.05325 65.2757 31692.8
7.14934 60.1037 30430.1
7.49272 53.6676 35195.7
5.12636 67.3018 32331
6.51199 56.7932 34148.3
5.7576 46.8472 33810.3
5.89495 60.3795 28326.2
6.03881 60.912 25196.1
6.09898 62.4848 31257.9
5.11593 54.3547 30951.6
6.28874 59.484 27467.2
5.1972 52.1123 32074.6
6.41011 69.0539 32897.8
6.09634 53.9506 33733.8
6.79972 61.669 33406.9
7.07093 59.1642 27782.8
5.374 62.8779 28370.6
6.23197 56.8468 32476.8
6.11919 61.4747 30671.4
5.47715 57.7433 34802.1
5.75304 58.4821 26056.6
6.04345 59.6515 30292.8
5.86749 48.8684 26013.3
5.1196 55.4259 26737.7
4.85363 63.9671 31754.3
5.11134 62.5267 28380.9
5.63102 67.4021 27824.7
6.55338 70.1926 28746.9
5.09348 64.9834 34102.1
6.00281 55.3155 28872.7
6.34192 68.9331 30062.1
7.12742 49.946 26315.3
5.78988 55.8147 28988
6.21928 65.9705 23675.5
5.77191 57.1398 26860
6.60097 61.6275 31562.3
6.54564 57.6673 31098.9
5.3923 53.3422 27586.9
5.73565 66.0255 24402.9
5.58679 66.7424 31357.4
6.68741 47.3023 30859.8
6.35024 69.1774 29246.3
7.87837 62.2509 31542.6
5.91474 56.682 26934.1
7.37546 74.3867 28955.2
6.363 55.0602 28527.1
4.99332 54.6154 31114.5
5.93524 61.6377 30171.8
5.46088 55.8265 26670.4
6.15648 62.2389 30159.3
5.88133 54.5528 34032.9
6.17057 64.3299 32186.1
5.4055 60.1102 34199.2
5.92209 67.2079 34829.1
6.47452 54.1864 34577.9
5.99255 66.4354 33141.3
6.42029 65.2467 31137.2
5.85296 61.3538 30193.3
5.68192 45.5069 29588.4
6.50703 58.082 22591.1
6.08911 69.1255 28273.5
7.07861 62.654 27350.8
5.44503 58.9639 31264.8
6.15327 56.6723 31743.4
6.29217 60.1391 26948.4
6.46223 51.7837 33363.5
5.80437 55.8426 24197
6.35965 55.1958 29668.6
5.17007 56.2854 26159.4
6.35353 49.8468 30086.6
7.05269 56.5806 34945.7
4.81574 71.6664 31484.7
6.38196 62.2262 31552.7
5.69602 67.1128 31869.6
6.61085 56.6533 31901.4
6.46682 67.8843 31086.6
5.84706 59.0658 29097.9
6.56166 73.1349 31804.8
6.25199 59.2536 28945.3
6.01294 65.6984 32141.7
6.54032 62.0982 38086.1
4.58639 59.5176 31946.9
5.3235 65.7895 24806.5
5.26425 55.8895 31502.1
6.52884 68.8435 30933.3
6.19505 58.2947 33438
6.13926 53.4269 34775.7
6.85898 59.8347 35038.9
5.69322 67.5551 25312.5
6.51101 45.7074 30322.2
5.70622 51.3767 34094.7
5.16361 60.8042 29788
6.23085 69.7045 31695.8
5.45485 66.3717 26985.8
4.40532 64.6536 32293.3
5.63542 47.0482 34473.6
6.75905 68.6245 27186.1
5.55167 60.4518 28402.6
5.73299 65.8499 33469
5.34035 64.5131 34279.2
5.0852 52.932 27933.3
6.36583 66.3859 29987.7
5.6813 53.9925 30688.9
5.68759 62.4648 29291
5.47965 48.5952 29073.2
6.02663 56.8116 30258.5
5.8133 54.2182 28662.4
6.20581 54.1492 30107.5
5.45104 54.8094 29760
4.68738 52.8701 30695.3
6.31392 61.9165 33913.5
5.59632 58.792 24363.6
5.20617 54.2851 29581.8
7.29311 47.7478 26527.6
7.30463 60.9716 30333.5
5.37695 70.6457 26601.2
6.00569 55.8591 29285.9
6.14919 59.1008 31201.9
6.51367 64.8173 29531.5
